"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.112103660E-1	-4.240081787E0	4.549952030E0	7.755138397E0	9.940952097E0
2.122089080E-1	-4.218546391E0	4.522434711E0	7.751548767E0	9.916403464E0
2.132057830E-1	-4.208974838E0	4.502095699E0	7.732406139E0	9.888095852E0
2.142021370E-1	-4.197010994E0	4.482953072E0	7.713263988E0	9.859321015E0
2.151988560E-1	-4.181457520E0	4.462614059E0	7.719245911E0	9.848160674E0
2.161970850E-1	-4.167100430E0	4.438685894E0	7.727620602E0	9.837823876E0
2.171952620E-1	-4.140779495E0	4.412364960E0	7.733603001E0	9.819553693E0
2.181947410E-1	-4.125226021E0	4.393222332E0	7.737192154E0	9.807243986E0
2.191922930E-1	-4.108476639E0	4.376472473E0	7.739584923E0	9.794603942E0
2.201890640E-1	-4.085744858E0	4.369294167E0	7.746763229E0	9.787562674E0
2.211855220E-1	-4.066602230E0	4.352544308E0	7.741977692E0	9.768321976E0
2.221830220E-1	-4.063013077E0	4.342973232E0	7.722835064E0	9.747393148E0
2.231806270E-1	-4.063013077E0	4.328616142E0	7.733603001E0	9.749544007E0
2.241794810E-1	-4.055834293E0	4.308277130E0	7.731209755E0	9.735638034E0
2.251751060E-1	-4.053441525E0	4.297509670E0	7.728816986E0	9.727979727E0
2.261686470E-1	-4.048655987E0	4.297509670E0	7.713263988E0	9.713631969E0
2.271645330E-1	-4.033102512E0	4.302295208E0	7.679764271E0	9.682687601E0
2.281627620E-1	-4.022335052E0	4.313062668E0	7.634300709E0	9.646980676E0
2.291627620E-1	-4.010370731E0	4.331008911E0	7.607979774E0	9.629229867E0
2.301645330E-1	-3.990031719E0	4.356133461E0	7.591229916E0	9.618888890E0
2.311779700E-1	-3.984049797E0	4.358526230E0	7.550551891E0	9.585417964E0
2.322030750E-1	-3.990031719E0	4.356133461E0	7.506284714E0	9.551992570E0
2.332279700E-1	-3.987638950E0	4.364508629E0	7.436892986E0	9.500398795E0
2.342526580E-1	-3.984049797E0	4.372883320E0	7.385447025E0	9.462536081E0
2.352771890E-1	-3.973282099E0	4.386044025E0	7.351947784E0	9.437981196E0
2.363015640E-1	-3.972085476E0	4.406383038E0	7.328019142E0	9.428337025E0
2.373257310E-1	-3.980460405E0	4.431507587E0	7.313662529E0	9.432496177E0
